Language,Implementation,N,Run,Time (s),Memory (KB),solutions,nodes_visited,backtracks,pruned_paths,explored_placements
Python,Standard,4,1,0.08512771100004102,89364,2,17,16,44,
Python,Standard,4,2,0.09058407600014107,89364,2,17,16,44,
Python,Standard,4,3,0.09185189299978447,89364,2,17,16,44,
Python,Standard,4,4,0.10469461799993951,89364,2,17,16,44,
Python,Standard,4,5,0.08473008500004653,89364,2,17,16,44,
Python,Standard,4,6,0.07653698500007522,89364,2,17,16,44,
Python,Standard,4,7,0.08134269799984395,89364,2,17,16,44,
Python,Standard,4,8,0.08868613499998901,89364,2,17,16,44,
Python,Standard,4,9,0.0813120190000518,89364,2,17,16,44,
Python,Standard,4,10,0.09436501600021074,89364,2,17,16,44,
Python,Standard,5,1,0.11458882999977504,89364,10,54,53,167,
Python,Standard,5,2,0.08481883500007825,89364,10,54,53,167,
Python,Standard,5,3,0.0857524299999568,89364,10,54,53,167,
Python,Standard,5,4,0.07723339299991494,89364,10,54,53,167,
Python,Standard,5,5,0.2093526959997689,89364,10,54,53,167,
Python,Standard,5,6,0.08287852300009035,89364,10,54,53,167,
Python,Standard,5,7,0.08445809700015161,89364,10,54,53,167,
Python,Standard,5,8,0.07017951400030142,89364,10,54,53,167,
Python,Standard,5,9,0.06888079700001981,89364,10,54,53,167,
Python,Standard,5,10,0.07292375900033221,89364,10,54,53,167,
Python,Standard,6,1,0.06345036399989112,89364,4,153,152,742,
Python,Standard,6,2,0.07105542299996159,89364,4,153,152,742,
Python,Standard,6,3,0.07908805100032623,89364,4,153,152,742,
Python,Standard,6,4,0.06634422699971765,89364,4,153,152,742,
Python,Standard,6,5,0.06497708899996724,89364,4,153,152,742,
Python,Standard,6,6,0.060242768000080105,89364,4,153,152,742,
Python,Standard,6,7,0.06297778899988771,89364,4,153,152,742,
Python,Standard,6,8,0.06525754699987374,89364,4,153,152,742,
Python,Standard,6,9,0.06495959800031414,89364,4,153,152,742,
Python,Standard,6,10,0.06217432799985545,89364,4,153,152,742,
Python,Standard,7,1,0.05999961599991366,89364,40,552,551,3033,
Python,Standard,7,2,0.06464516999994885,89364,40,552,551,3033,
Python,Standard,7,3,0.07880152600000656,89364,40,552,551,3033,
Python,Standard,7,4,0.06640799100023287,89364,40,552,551,3033,
Python,Standard,7,5,0.05832173299995702,89364,40,552,551,3033,
Python,Standard,7,6,0.06747726999992665,89364,40,552,551,3033,
Python,Standard,7,7,0.08051124499979778,89364,40,552,551,3033,
Python,Standard,7,8,0.06549837800002933,89364,40,552,551,3033,
Python,Standard,7,9,0.06677403599996978,89364,40,552,551,3033,
Python,Standard,7,10,0.06996867499992732,89364,40,552,551,3033,
Python,Standard,8,1,0.08457324799974231,89364,92,2057,2056,13664,
Python,Standard,8,2,0.07312721200014494,89364,92,2057,2056,13664,
Python,Standard,8,3,0.06390985200005161,89364,92,2057,2056,13664,
Python,Standard,8,4,0.06418111999983012,89364,92,2057,2056,13664,
Python,Standard,8,5,0.06239305200006129,89364,92,2057,2056,13664,
Python,Standard,8,6,0.06289945899970917,89364,92,2057,2056,13664,
Python,Standard,8,7,0.06991367499995249,89364,92,2057,2056,13664,
Python,Standard,8,8,0.061868479999702686,89364,92,2057,2056,13664,
Python,Standard,8,9,0.05964272900018841,89364,92,2057,2056,13664,
Python,Standard,8,10,0.061021573999823886,89364,92,2057,2056,13664,
Python,Standard,9,1,0.0695054610000625,89364,352,8394,8393,63985,
Python,Standard,9,2,0.07628514199996062,89364,352,8394,8393,63985,
Python,Standard,9,3,0.07488147100002607,89364,352,8394,8393,63985,
Python,Standard,9,4,0.08528924999973242,89364,352,8394,8393,63985,
Python,Standard,9,5,0.07837317600024107,89364,352,8394,8393,63985,
Python,Standard,9,6,0.0733270249997986,89364,352,8394,8393,63985,
Python,Standard,9,7,0.07121033200019156,89364,352,8394,8393,63985,
Python,Standard,9,8,0.07467981899981169,89364,352,8394,8393,63985,
Python,Standard,9,9,0.06811322299972744,89364,352,8394,8393,63985,
Python,Standard,9,10,0.06515857700014749,89364,352,8394,8393,63985,
Python,Standard,10,1,0.09548555999981545,89364,724,35539,35538,312612,
Python,Standard,10,2,0.09287457800019183,89364,724,35539,35538,312612,
Python,Standard,10,3,0.09833673299999646,89364,724,35539,35538,312612,
Python,Standard,10,4,0.09184963100005916,89364,724,35539,35538,312612,
Python,Standard,10,5,0.09425145200020779,89364,724,35539,35538,312612,
Python,Standard,10,6,0.12482734000013807,89364,724,35539,35538,312612,
Python,Standard,10,7,0.12598898400028702,89364,724,35539,35538,312612,
Python,Standard,10,8,0.12385854800004381,89364,724,35539,35538,312612,
Python,Standard,10,9,0.12534550700002,89364,724,35539,35538,312612,
Python,Standard,10,10,0.1129552560000775,89364,724,35539,35538,312612,
Python,Standard,11,1,0.2701971390001745,89364,2680,166926,166925,1639781,
Python,Standard,11,2,0.29592698699980247,89364,2680,166926,166925,1639781,
Python,Standard,11,3,0.2755851840001924,89364,2680,166926,166925,1639781,
Python,Standard,11,4,0.24314320699977543,89364,2680,166926,166925,1639781,
Python,Standard,11,5,0.24734231499996895,89364,2680,166926,166925,1639781,
Python,Standard,11,6,0.2642799760001253,89364,2680,166926,166925,1639781,
Python,Standard,11,7,0.24285819799979436,89364,2680,166926,166925,1639781,
Python,Standard,11,8,0.24459846599984303,89364,2680,166926,166925,1639781,
Python,Standard,11,9,0.2386816150001323,89364,2680,166926,166925,1639781,
Python,Standard,11,10,0.26898889399990367,89364,2680,166926,166925,1639781,
Python,Standard,12,1,1.0985212749997117,89364,14200,856189,856188,9247680,
Python,Standard,12,2,1.1712743469997804,89364,14200,856189,856188,9247680,
Python,Standard,12,3,1.1019466970001304,89364,14200,856189,856188,9247680,
Python,Standard,12,4,1.0682344789997842,89364,14200,856189,856188,9247680,
Python,Standard,12,5,1.0663892509996913,89364,14200,856189,856188,9247680,
Python,Standard,12,6,1.1328178069998103,89364,14200,856189,856188,9247680,
Python,Standard,12,7,1.3386150390001603,89364,14200,856189,856188,9247680,
Python,Standard,12,8,1.1960519869999189,89364,14200,856189,856188,9247680,
Python,Standard,12,9,1.0670407259999592,89364,14200,856189,856188,9247680,
Python,Standard,12,10,1.0990736190001371,89364,14200,856189,856188,9247680,
C++,Standard,4,1,0.012159236000115925,89364,2,17,16,44,
C++,Standard,4,2,0.009713788000226486,89364,2,17,16,44,
C++,Standard,4,3,0.009507582999958686,89364,2,17,16,44,
C++,Standard,4,4,0.012561078000089765,89364,2,17,16,44,
C++,Standard,4,5,0.010920906999672297,89364,2,17,16,44,
C++,Standard,4,6,0.013226658999883512,89364,2,17,16,44,
C++,Standard,4,7,0.012823322000258486,89364,2,17,16,44,
C++,Standard,4,8,0.014037720000033005,89364,2,17,16,44,
C++,Standard,4,9,0.010167679000005592,89364,2,17,16,44,
C++,Standard,4,10,0.011056415999973979,89364,2,17,16,44,
C++,Standard,5,1,0.011865682999996352,89364,10,54,53,167,
C++,Standard,5,2,0.010102367999934359,89364,10,54,53,167,
C++,Standard,5,3,0.013202029000240145,89364,10,54,53,167,
C++,Standard,5,4,0.014047392000065884,89364,10,54,53,167,
C++,Standard,5,5,0.011031289000129618,89364,10,54,53,167,
C++,Standard,5,6,0.008695324999735021,89364,10,54,53,167,
C++,Standard,5,7,0.011231012999814993,89364,10,54,53,167,
C++,Standard,5,8,0.009375165000164998,89364,10,54,53,167,
C++,Standard,5,9,0.010462628999903245,89364,10,54,53,167,
C++,Standard,5,10,0.011748720000014146,89364,10,54,53,167,
C++,Standard,6,1,0.0088301370001318,89364,4,153,152,742,
C++,Standard,6,2,0.01104385300004651,89364,4,153,152,742,
C++,Standard,6,3,0.011452574000031746,89364,4,153,152,742,
C++,Standard,6,4,0.008478450999973575,89364,4,153,152,742,
C++,Standard,6,5,0.011615604999860807,89364,4,153,152,742,
C++,Standard,6,6,0.01237182299973938,89364,4,153,152,742,
C++,Standard,6,7,0.0094855459997234,89364,4,153,152,742,
C++,Standard,6,8,0.0099751349998769,89364,4,153,152,742,
C++,Standard,6,9,0.01203888400004871,89364,4,153,152,742,
C++,Standard,6,10,0.008961358000306063,89364,4,153,152,742,
C++,Standard,7,1,0.010425935000057507,89364,40,552,551,3033,
C++,Standard,7,2,0.010303388000011182,89364,40,552,551,3033,
C++,Standard,7,3,0.011709432999850833,89364,40,552,551,3033,
C++,Standard,7,4,0.013394673999755469,89364,40,552,551,3033,
C++,Standard,7,5,0.010838146000423876,89364,40,552,551,3033,
C++,Standard,7,6,0.009481259000040154,89364,40,552,551,3033,
C++,Standard,7,7,0.010494635999748425,89364,40,552,551,3033,
C++,Standard,7,8,0.008738101999824721,89364,40,552,551,3033,
C++,Standard,7,9,0.011001873999703093,89364,40,552,551,3033,
C++,Standard,7,10,0.010228603000086878,89364,40,552,551,3033,
C++,Standard,8,1,0.007915274999959365,89364,92,2057,2056,13664,
C++,Standard,8,2,0.010674717999791028,89364,92,2057,2056,13664,
C++,Standard,8,3,0.007974005000050965,89364,92,2057,2056,13664,
C++,Standard,8,4,0.011574422999728995,89364,92,2057,2056,13664,
C++,Standard,8,5,0.014289080000253307,89364,92,2057,2056,13664,
C++,Standard,8,6,0.011346636999860493,89364,92,2057,2056,13664,
